stop_id,route_id,driver_id,vehicle_id,hub,delivery_zone,delivery_note,customer_type,priority_level,signature_required,weather,stop_datetime_raw,scheduled_window_start_raw,scheduled_window_min,actual_delivery_time_raw,actual_arrival_min,packages_count,package_weight_lb_raw,package_weight_lb,distance_from_prev_mi,service_time_min,fuel_cost_usd,tip_usd,customer_claim_usd,cargo_temp_f,gps_accuracy_m,device_battery_pct,delivery_status,failure_reason,customer_satisfaction,internal_comment
S-00016,R-123,D-025,V-007,Boulder,Industrial,mailroom,residential,expedited,0,wind,07/31/2025 09:40 AM,07/31/2025 09:40 AM,64,2024-11-16 09:48:00,168,2,4.42,4.42,5.804,14.2,2.81,0.0,0.0,49.86,,96.3,failed,,60.4,
S-00017,R-139,D-055,V-023,Denver-West,Suburban,leave_at_door,residential,standard,0,clear,2025-03-05 11:35 MDT,2025-03-05 11:35 MDT,132,2024-11-17 11:32:00,272,1,4.44,4.44,3.906,4.46,1.54,,0.0,52.76,14.8,55.7,delivered,,83.0,
S-00018,R-147,D-017,V-003,Fort-Collins,Downtown,garage,residential,standard,0,snow,2025/09/18 16:55:00 MDT,2025/09/18 16:55:00 MDT,119,2024-11-18 17:06:00,606,2,21.67,21.67,2.396,24.1,1.05,0.0,0.0,39.56,15.6,35.0,delivered,,77.78,
S-00019,R-108,D-030,V-035,Dnvr-East,Industrial,building_super,business ,Standard,0,clear,12-Feb-2025 17:15,12-Feb-2025 17:15,124,2024-11-19 17:18:00,618,1,3.15,3.15,3.128,6.52,0.71,0.0,0.0,49.93,7.1,,delivered,,86.83,
S-00020,R-106,D-060,V-025,Boulder ,Suburban,mailroom,residential,same day,0,clear,2025-07-02 13:55,2025-07-02 13:55,54,2024-11-20 13:48:00,408,1,1.53,1.53,4.303,5.94,2.1,,0.0,46.41,7.3,45.6,delivered,,80.18,
S-00021,R-154,D-036,V-019,Denver-East,Suburban,side_entrance,business ,standard,0,clear,11/14/2025 04:00 PM MDT,11/14/2025 04:00 PM MDT,122,2024-11-21 15:59:00,539,2,10.18,10.18,1.368,8.23,0.61,4.12,0.0,38.82,9.5,62.5,delivered,,81.69,
S-00022,R-157,D-041,V-040,Denver-West,Suburban,garage,business,standard,0,clear,07/13/2025 07:30 AM,07/13/2025 07:30 AM,133,2024-11-22 07:28:00,28,6,3.16,3.16,2.224,17.38,1.06,,0.0,33.01,18.7,53.7,delivered,,93.29,
S-00023,R-137,D-056,V-024,Boulder ,Rural,front_desk,res,expedited,0,clear,27-Feb-2025 11:20 MDT,27-Feb-2025 11:20 MDT,60,2024-11-23 11:33:00,273,2,2.68,2.68,7.277,6.47,2.48,,0.0,49.98,10.7,85.6,failed,customer_not_home,59.3,
S-00024,R-103,D-013,V-005,Denver East,Rural,mailroom,business ,standard,0,clear,2024/12/04 14:45:00,2024/12/04 14:45:00,131,2024-11-24 14:39:00,459,1,5.88,5.88,14.023,10.36,5.46,3.42,0.0,43.22,15.7,59.8,delivered,,90.07,
S-00025,R-150,D-043,V-015,Colorado-Springs,Rural,front_desk,residential,standard,0,clear,09/06/2025 01:40 PM MDT,09/06/2025 01:40 PM MDT,117,2024-11-25 14:01:00,421,1,17.83,17.83,15.16,10.23,6.06,,118.12,50.06,17.0,73.2,failed,customer_not_home,49.56,
S-00026,R-155,D-019,V-006,Colorado-Springs,Downtown,call_on_arrival,business,standard,1,clear,2025/08/02 11:55:00,2025/08/02 11:55:00,122,2024-11-26 11:45:00,285,5,8.34,8.34,4.174,18.7,1.98,0.0,0.0,43.29,9.8,74.3,DELIVERED,,86.8,
S-00027,R-125,D-015,V-007,Dnvr-East,Suburban,building_super,residential,standard,1,clear,2025/12/07 13:35:00,2025/12/07 13:35:00,114,2024-11-27 13:27:00,387,2,4.31,4.31,3.375,23.74,1.7,3.3,0.0,53.52,7.5,87.4,failed,package_damaged,72.01,
S-00028,R-141,D-018,V-030,Denver-East,Suburban,garage,Business,expedited,1,wind,2025/06/24 19:50:00,2025/06/24 19:50:00,51,2024-11-28 19:58:00,778,3,2.23,2.23,2.719,16.32,1.03,0.0,0.0,51.65,,59.3,delivered,,78.91,
S-00029,R-111,D-054,V-024,Fort-Collins,Downtown,rear_loading_dock,residential,standard,1,rain,2025/10/15 15:20:00 MST ,2025/10/15 15:20:00 MST ,121,2024-11-29 15:16:00,496,1,7.86,7.86,3.086,34.29,1.21,0.0,0.0,54.01,9.0,30.3,delivered,,80.06,
S-00030,R-114,D-024,V-023,Denver-West,Suburban,call_on_arrival,residential,expedited,1,rain,2024-11-25 14:55 MDT,2024-11-25 14:55 MDT,65,2024-11-30 15:06:00,486,2,8.31,8.31,2.995,33.52,1.26,1.66,0.0,39.06,6.0,72.7,failed,,61.09,
S-00031,R-145,D-043,V-018,Fort-Collins,Downtown,mailroom,business,expedited,0,fog,2025/11/29 16:20:00 MDT,2025/11/29 16:20:00 MDT,47,2024-12-01 16:20:00,560,1,6.27,6.27,2.206,13.52,0.99,0.0,0.0,44.24,11.6,72.9,DELIVERED,,86.47,
S-00032,R-139,D-060,V-005,Denver-East,Suburban,call_on_arrival,Residential,standard,0,wind,05-Aug-2025 18:15 MDT,05-Aug-2025 18:15 MDT,123,2024-12-02 18:20:00,680,1,1.54,1.54,6.406,20.81,3.0,,0.0,,5.7,,rescheduled,,67.88,
S-00033,R-135,D-041,V-011,Denver-East ,Downtown,garage,res,same_day,0,wind,2024-11-22 09:10 MST,2024-11-22 09:10 MST,38,2024-12-03 09:17:00,137,2,4.69,4.69,1.704,6.95,0.84,,0.0,47.16,8.8,74.7,rescheduled,,72.14,
S-00034,R-111,D-047,V-016,Boulder ,Downtown,side_entrance,residential,Same_Day,0,rain,23-Apr-2025 13:35 ,23-Apr-2025 13:35 ,42,2024-12-04 13:37:00,397,1,9.11,9.11,2.212,5.05,1.17,1.12,0.0,43.62,6.8,100.0,delivered,,80.62,
S-00035,R-118,D-030,V-025,Fort-Collins,Rural,side_entrance,residential,standard,1,clear,12/02/2024 03:45 PM MDT,12/02/2024 03:45 PM MDT,120,2024-12-05 15:44:00,524,3,2.89,2.89,6.627,15.26,2.89,4.45,0.0,56.19,,63.1,failed,,55.39,
S-00036,R-115,D-060,V-036,Fort-Collins,Industrial,front_desk,residential,expedited,1,clear,2025-11-05 18:40,2025-11-05 18:40,55,2024-12-06 18:45:00,705,4,11.99,11.99,4.243,22.18,1.99,3.37,0.0,40.98,11.2,81.6,delivered,,83.72,
S-00037,R-154,D-044,V-021,Denver-West,Suburban,front_desk,residential,same_day,1,clear,2025/04/08 12:40:00 MST,2025/04/08 12:40:00 MST,46,2024-12-07 12:33:00,333,5,14.54,14.54,3.756,23.57,1.44,0.0,0.0,42.67,13.5,55.3,failed,weather_delay,62.27,
S-00038,R-115,D-050,V-004,Boulder,Suburban,garage,residential,expedited,1,clear,2025-01-23 14:30 MDT,2025-01-23 14:30 MDT,55,2024-12-08 14:37:00,457,3,7.52,7.52,0.693,9.57,0.47,1.55,0.0,32.9,4.1,83.7,delivered,,94.29,
S-00039,R-152,D-053,V-003,Denver-East,Downtown,leave_at_door,residential,standard,0,wind,2025-02-28 16:30,2025-02-28 16:30,120,2024-12-09 16:39:00,579,1,3.55,3.55,2.563,1.84,1.19,,0.0,,9.2,81.9,delivered,,78.08,check
S-00040,R-118,D-021,V-026,Colorado-Springs,Downtown,garage,residential,standard,0,wind,2025/06/22 15:40:00,2025/06/22 15:40:00,120,2024-12-10 15:41:00,521,4,3.91,3.91,3.14,12.18,1.51,1.68,0.0,53.04,8.7,,delivered,,92.2,
S-00041,R-159,D-005,V-014,Denver-West,Suburban,garage,business,expedited,0,clear,20-Sep-2025 15:30 MST,20-Sep-2025 15:30 MST,44,2024-12-11 15:38:00,518,0,4.12,4.12,6.749,5.43,2.2,,0.0,39.4,6.8,100.0,failed,,67.85,
S-00082,R-114,D-037,V-021,Fort-Collins,Downtown,call_on_arrival,Biz,standard,0,rain,08/31/2025 05:20 PM,08/31/2025 05:20 PM,133,2024-12-12 17:16:00,616,1,10.17,10.17,1.944,9.46,1.15,3.91,0.0,36.12,30.8,67.0,Failed,address_issue,58.0,
S-00043,R-126,D-042,V-032,Fort-Collins,Suburban,locker_pickup,business ,expedited,0,clear,2025/03/16 11:15:00 MST,2025/03/16 11:15:00 MST,59,2024-12-13 11:12:00,252,3,10.25,10.25,5.07,17.02,0.89,,0.0,65.37,12.5,72.4,failed,customer_not_home,67.76,check
S-00044,R-110,D-057,V-030,Colorado-Springs,Suburban,garage,residential,expedited,0,rain,2025/11/13 12:50:00 MST,2025/11/13 12:50:00 MST,48,2024-12-14 12:46:00,346,1,8.11,8.11,2.823,11.61,1.41,0.0,0.0,57.99,7.3,37.3,failed,customer_not_home,56.21,
S-00045,R-116,D-017,V-009,Boulder,Suburban,mailroom,residential,expedited,0,clear,2025/07/16 11:35:00 MST,2025/07/16 11:35:00 MST,49,2024-12-15 11:39:00,279,2,6.78,6.78,13.72,5.74,4.23,5.57,0.0,45.87,12.9,,delivered,,79.39,
S-00046,R-135,D-048,V-036,Denver-West,Campus,front_desk,residential,standard,0,snow,2025-09-22 08:05 MDT,2025-09-22 08:05 MDT,117,2024-12-16 08:16:00,76,1,4.1,4.1,1.432,4.11,1.08,0.0,0.0,38.97,15.4,50.3,failed,customer_not_home,57.03,
S-00047,R-128,D-017,V-038,Denver East,Suburban,garage,business ,standard,1,clear,12/11/2025 08:35 AM MDT,12/11/2025 08:35 AM MDT,104,2024-12-17 08:40:00,100,1,3.01,3.01,2.829,12.33,1.43,,0.0,60.14,2.5,62.5,Failed,,71.92,
S-00048,R-126,D-058,V-038,Denver-East,Downtown,leave_at_door,business,standard,1,wind,07-Apr-2025 17:30 ,07-Apr-2025 17:30 ,113,2024-12-18 17:32:00,632,1,4.04,4.04,3.379,40.27,1.56,0.0,0.0,38.6,12.1,79.1,delivered,,62.64,
S-00049,R-109,D-024,V-015,Denver-West,Downtown,front_desk,residential,standard,0,snow,01/18/2025 06:15 PM MDT,01/18/2025 06:15 PM MDT,120,2024-12-19 18:20:00,680,1,4.93,4.93,1.366,5.76,0.95,,0.0,39.17,12.7,83.4,failed,weather_delay,60.92,
S-00050,R-106,D-033,V-032,Fort Collins,Industrial,mailroom,residential,standard,0,clear,2025/03/04 17:05:00 MDT,2025/03/04 17:05:00 MDT,115,2024-12-20 17:08:00,608,3,5.69,5.69,1.761,12.5,0.7,0.0,0.0,35.46,9.8,83.0,failed,vehicle_issue,53.57,
S-00051,R-156,D-049,V-004,Fort-Collins,Suburban,garage,business,standard,1,wind,06/20/2025 04:15 PM MDT,06/20/2025 04:15 PM MDT,113,2024-12-21 16:26:00,566,2,5.32,5.32,4.288,15.58,2.32,2.94,0.0,44.76,11.5,76.3,failed,package_damaged,67.34,
S-00052,R-141,D-008,V-010,Denver-East,Rural,side_entrance,residential,standard,0,clear,12/13/2025 09:00 AM,12/13/2025 09:00 AM,113,2024-12-22 09:07:00,127,1,7.69,7.69,9.653,4.73,3.17,,0.0,38.95,5.0,53.0,delivered,,87.21,
S-00053,R-139,D-011,V-028,Boulder,Downtown,mailroom,business,expedited,1,clear,2025-01-17 08:45 MST,2025-01-17 08:45 MST,50,2024-12-23 08:47:00,107,6,12.2,12.2,1.397,14.56,0.53,0.0,0.0,51.88,7.2,59.0,delivered,,88.74,
S-00054,R-125,D-005,V-025,Fort-Collins,Suburban,side_entrance,residential,standard,0,rain,2025/12/02 10:40:00 MDT,2025/12/02 10:40:00 MDT,120,2024-12-24 10:29:00,209,2,8.31,8.31,2.105,6.05,1.19,,0.0,38.15,,57.8,delivered,,91.26,
S-00055,R-134,D-039,V-030,Denver-East,Downtown,front_desk,Business,STANDARD,1,wind,2025/10/30 15:00:00 MDT,2025/10/30 15:00:00 MDT,128,2024-12-25 15:00:00,480,5,15.91,15.91,2.662,25.63,1.32,7.46,0.0,35.0,6.9,74.1,delivered,,88.14,
S-00056,R-156,D-017,V-036,Colorado Springs,Downtown,leave_at_door,residential,standard,0,clear,2025/09/06 15:20:00,2025/09/06 15:20:00,145,2024-12-26 15:23:00,503,3,9.01,9.01,1.436,7.93,0.75,0.0,0.0,45.65,20.5,45.7,faild,weather_delay,57.39,
S-00057,R-144,D-001,V-008,Colorado Springs,Downtown,front_desk,business ,expedited,0,snow,02/21/2025 01:05 PM MST,02/21/2025 01:05 PM MST,60,2024-12-27 13:08:00,368,5,5.61,5.61,1.433,16.77,0.75,0.0,0.0,34.59,2.2,47.6,rescheduled,,67.56,
S-00058,R-149,D-057,V-035,Colorado-Springs,Campus,side_entrance,Residential,standard,1,clear,29-Jan-2025 08:35,29-Jan-2025 08:35,111,2024-12-28 08:39:00,99,1,5.94,5.94,3.387,10.95,0.85,5.64,0.0,61.27,4.8,42.3,delivered,,87.41,
S-00972,R-108,D-018,V-022,Boulder ,Downtown,side_entrance,business,standard,0,clear,04-Dec-2025 07:40,04-Dec-2025 07:40,123,2024-12-29 07:38:00,38,4,4.1,4.1,2.47,10.23,1.32,,0.0,53.1,2.8,66.3,delivered,,96.05,
S-00060,R-111,D-019,V-028,Fort Collins,Suburban,front_desk,residential,standard,0,clear,2025-02-06 08:30,2025-02-06 08:30,120,2024-12-30 08:36:00,96,2,4.12,4.12,8.15,10.95,1.48,0.0,118.12,48.68,10.5,73.5,FAILED,customer_not_home,61.11,
S-00061,R-147,D-030,V-001,Denver-East,Suburban,side_entrance,residential,standard,0,snow,2025/01/05 08:10:00 MDT,2025/01/05 08:10:00 MDT,138,2024-12-31 08:21:00,81,4,2.26,2.26,7.952,19.29,4.06,0.0,0.0,51.67,7.9,57.2,failed,weather_delay,56.77,
S-00062,R-133,D-057,V-017,Denver-East,Suburban,garage,business,expedited,1,fog,2024-12-10 13:00,2024-12-10 13:00,53,2025-01-01 13:02:00,362,4,13.45,13.45,2.07,17.35,1.26,2.77,0.0,47.21,14.9,42.0,delivered ,,80.42,
S-00063,R-133,D-049,V-012,Denver-East,Downtown,front_desk,business ,expedited,0,rain,03/11/2025 05:50 PM,03/11/2025 05:50 PM,66,2025-01-02 17:59:00,659,2,6.2,6.2,2.665,7.88,1.28,,118.12,36.95,16.1,55.2,failed,address_issue,53.54,
S-00064,R-156,D-059,V-007,Denver-West,Rural,garage,business ,standard,0,wind,2024-11-21 07:20 MDT,2024-11-21 07:20 MDT,105,2025-01-03 07:26:00,26,1,4.55,4.55,3.409,3.11,1.74,0.0,0.0,44.6,8.4,69.0,delivered,,82.51,
S-00065,R-154,D-041,V-020,Boulder,Industrial,locker_pickup,business,standard,0,clear,2025-02-18 17:50 MST,2025-02-18 17:50 MST,125,2025-01-04 17:45:00,645,3,22.16,22.16,5.449,14.6,1.77,,0.0,34.81,13.6,100.0,delivered,,84.01,
S-00066,R-139,D-041,V-033,Boulder,Suburban,side_entrance,residential,standard,0,wind,2025-07-26 14:05,2025-07-26 14:05,109,2025-01-05 14:14:00,434,2,3.53,3.53,5.141,8.58,1.82,0.0,0.0,42.1,7.6,45.9,delivered,,78.06,
S-00067,R-124,D-013,V-010,Denver-East,Suburban,side_entrance,business,standard,1,clear,2025-10-13 15:00 MST,2025-10-13 15:00 MST,142,2025-01-06 14:44:00,464,2,5.45,5.45,5.174,10.77,1.73,,0.0,51.2,4.5,56.3,delivered,,84.37,
S-00068,R-135,D-049,V-011,Colorado Springs,Industrial,mailroom,residential,expedited,0,clear,2025/06/21 12:20:00,2025/06/21 12:20:00,74,2025-01-07 12:23:00,323,1,3.22,3.22,3.74,5.53,1.27,,118.12,51.49,13.4,76.7,rescheduled,,62.22,
S-00069,R-159,D-050,V-034,Denver-East,Suburban,side_entrance,residential,same_day,0,clear,04/10/2025 01:05 PM,04/10/2025 01:05 PM,42,2025-01-08 13:09:00,369,4,4.16,4.16,6.196,23.15,1.36,,0.0,52.34,6.3,60.1,Delivered,,88.47,
S-00070,R-121,D-001,V-039,Boulder ,Suburban,leave_at_door,business,expedited,0,wind,01/01/2025 02:45 PM MDT,01/01/2025 02:45 PM MDT,59,2025-01-09 14:55:00,475,4,9.3,9.3,2.981,17.73,1.38,0.0,0.0,36.27,8.0,42.1,delivered,,83.94,
S-00071,R-108,D-032,V-002,Denver-West,Suburban,garage,res,standard,0,wind,26-Dec-2024 16:15 ,26-Dec-2024 16:15 ,121,2025-01-10 16:32:00,572,1,8.51,8.51,4.221,20.03,1.6,3.33,0.0,,4.5,46.9,delivered,,80.43,
S-00072,R-157,D-060,V-024,Denver-East,Suburban,call_on_arrival,residential,standard,0,rain,03-Jul-2025 11:20 MDT,03-Jul-2025 11:20 MDT,123,2025-01-11 11:21:00,261,1,4.22,4.22,3.346,3.91,1.4,5.04,0.0,61.27,10.5,73.4,delivered,,81.36,
S-00073,R-116,D-054,V-020,Colorado-Springs,Downtown,side_entrance,business,standard,0,wind,20-Sep-2025 12:40,20-Sep-2025 12:40,122,2025-01-12 12:34:00,334,4,12.81,12.81,1.415,13.04,0.69,0.0,0.0,45.61,7.5,61.3,delivered,weather_delay,80.24,
S-00074,R-157,D-004,V-016,Denver-West,Suburban,side_entrance,residential,expedited,0,rain,04-Sep-2025 17:35,04-Sep-2025 17:35,71,2025-01-13 17:42:00,642,5,10.61,10.61,3.373,10.19,1.99,0.0,0.0,60.66,8.7,79.1,Rescheduled,,73.49,
S-00075,R-106,D-037,V-006,Denver-West,Industrial,mailroom,residential,Standard,0,snow,08/25/2025 02:20 PM MST,08/25/2025 02:20 PM MST,127,2025-01-14 14:29:00,449,1,5.22,5.22,6.73,11.31,3.47,5.69,0.0,,9.8,32.5,DELIVERED,,71.9,
S-00076,R-153,D-047,V-032,Denver-East,Industrial,garage,business,standard,0,snow,24-Oct-2025 11:40 MST,24-Oct-2025 11:40 MST,120,2025-01-15 11:44:00,284,1,4.36,4.36,1.406,7.53,0.57,0.0,0.0,50.61,8.6,25.9,delivered,,87.36,
S-00077,R-150,D-005,V-035,Denver-West,Rural,garage,Residential,expedited,0,clear,2025-07-27 14:20 MDT,2025-07-27 14:20 MDT,65,2025-01-16 14:13:00,433,4,2.65,2.65,3.359,7.53,1.09,,118.12,37.29,16.7,46.3,failed,package_damaged,57.97,check
S-00078,R-143,D-009,V-009,Fort-Collins,Suburban,mailroom,business,standard,0,rain,06/29/2025 01:50 PM MDT,06/29/2025 01:50 PM MDT,130,2025-01-17 13:52:00,412,3,5.22,5.22,4.323,5.08,1.57,0.0,0.0,38.26,12.5,71.9,delivered,,83.73,
S-00079,R-111,D-031,V-036,Colorado-Springs,Rural,front_desk,residential,STANDARD,0,clear,2025/02/09 18:55:00 MDT ,2025/02/09 18:55:00 MDT ,118,2025-01-18 18:49:00,709,2,5.24,5.24,5.218,4.9,2.29,3.73,0.0,42.04,31.7,57.1,delivered,,88.37,
S-00080,R-156,D-017,V-034,Denver-West,Campus,garage,residential,EXPEDITED,0,clear,2025/02/17 16:05:00,2025/02/17 16:05:00,65,2025-01-19 16:16:00,556,2,3.93,3.93,3.045,11.43,0.9,,0.0,51.5,14.3,57.0,failed,security_access,64.34,
S-00081,R-114,D-039,V-028,Dnvr-East,Suburban,leave_at_door,business,expedited,0,clear,14-Dec-2025 18:50 MDT,14-Dec-2025 18:50 MDT,69,2025-01-20 18:51:00,711,2,7.21,7.21,1.971,6.13,0.51,0.0,0.0,50.36,14.5,21.1,delivered,,82.27,
S-00204,R-149,D-060,V-035,Colorado-Springs,Suburban,garage,residential,STANDARD,0,rain,2025/03/12 17:45:00 MDT,2025/03/12 17:45:00 MDT,139,2025-01-21 17:53:00,653,1,3.90,3.9,3.609,5.63,0.93,5.08,0.0,45.17,12.3,82.2,delivered,,87.36,
S-00083,R-146,D-047,V-013,Fort-Collins,Suburban,mailroom,residential,EXPEDITED,0,clear,24-Apr-2025 18:40 MDT,24-Apr-2025 18:40 MDT,53,2025-01-22 18:42:00,702,1,6.1,6.1,3.311,11.5,0.9,7.48,0.0,63.31,4.2,61.0,delivered,,92.94,
S-00084,R-143,D-020,V-026,Colorado-Springs,Industrial,call_on_arrival,Business,standard,0,rain,2025/06/23 15:00:00 MST,2025/06/23 15:00:00 MST,120,2025-01-23 15:05:00,485,3,7.08,7.08,4.091,8.52,1.49,0.0,0.0,48.78,9.9,90.1,delivered,,89.26,
S-00085,R-129,D-042,V-024,Fort-Collins,Downtown,mailroom,residential,expedited,0,clear,07/13/2025 02:40 PM MST,07/13/2025 02:40 PM MST,53,2025-01-24 14:22:00,442,1,31.27,31.27,2.073,9.62,0.83,0.0,118.12,54.96,3.5,82.3,delivered,,83.4,
S-00086,R-129,D-058,V-034,Denver-East,Suburban,mailroom,residential,standard,1,clear,2025/07/15 10:15:00,2025/07/15 10:15:00,146,2025-01-25 10:19:00,199,2,4.3,4.3,3.735,12.88,0.89,0.0,0.0,52.37,8.2,1.0,Delivered,security_access,87.17,
S-00087,R-115,D-008,V-016,Denver-East,Suburban,leave_at_door,residential,standard,0,clear,2024/12/11 11:35:00,2024/12/11 11:35:00,120,2025-01-26 11:34:00,274,1,6.58,6.58,1.602,17.9,0.94,0.0,118.12,64.38,16.0,58.9,delivered,,80.9,
S-00088,R-102,D-005,V-022,Denver-East,Downtown,front_desk,business ,expedited,1,wind,09/09/2025 07:35 PM MST,09/09/2025 07:35 PM MST,67,2025-01-27 19:32:00,752,4,3.8,3.8,1.677,16.98,1.11,,0.0,38.99,8.2,43.3,Rescheduled,,75.79,
S-00089,R-115,D-038,V-036,Denver-East,Suburban,leave_at_door,residential ,standard,0,rain,12/02/2024 10:45 AM MST,12/02/2024 10:45 AM MST,108,2025-01-28 10:47:00,227,1,9.2,9.2,2.516,7.31,1.43,0.0,0.0,42.05,7.7,45.0,failed,package_damaged,59.89,
S-00090,R-101,D-038,V-015,Boulder,Suburban,hand_to_security,residential,standard,0,rain,2025-10-03 15:35 MDT,2025-10-03 15:35 MDT,120,2025-01-29 15:49:00,529,3,6.94,6.94,2.666,31.21,1.52,,0.0,42.58,17.8,88.9,delivered ,,86.58,
S-00091,R-115,D-005,V-004,Denver-West,Campus,garage,business,same_day,0,clear,2025/09/09 16:35:00 MST,2025/09/09 16:35:00 MST,51,2025-01-30 16:30:00,570,2,4.66,4.66,2.073,420.0,1.06,,118.12,46.32,9.8,74.6,failed,address_issue,66.66,
S-00092,R-156,D-005,V-003,Fort-Collins,Suburban,call_on_arrival,business,standard,0,fog,06/03/2025 10:10 AM MST,06/03/2025 10:10 AM MST,122,2025-01-31 17:38:00,638,1,3.74,3.74,1.8690129170344918,3.03,1.8,0.0,0.0,45.95,427.9,70.8,delivered,,88.11,check
S-00093,R-133,D-022,V-005,Denver-East,Suburban,mailroom,residential,standard,1,rain,06/07/2025 08:30 AM MST,06/07/2025 08:30 AM MST,127,2025-02-01 08:48:00,108,3,2.15,2.15,1.847,39.6,1.05,4.39,0.0,55.4,7.6,59.5,failed,security_access,46.44,
